Doc_20 :Topic_7:0.2168644430987503, Topic_6:0.13517211693270784, Topic_4:0.12240092218982483, Topic_1:0.11267019303101194, Topic_0:0.11056235569665782, Topic_5:0.1078244277417188, Topic_8:0.09928209953424358, Topic_3:0.053260986844055065, Topic_2:0.03424332215902827, Topic_9:0.007719132772001618
Doc_21 :Topic_1:0.24877397527655942, Topic_2:0.21878756321964557, Topic_9:0.16387605047190576, Topic_3:0.06727138761219494, Topic_5:0.0649741558707217, Topic_6:0.055364109850581766, Topic_0:0.051650502274447375, Topic_4:0.049747564651707106, Topic_8:0.04068938322796347, Topic_7:0.038865307544272726
Doc_22 :Topic_4:0.4064126352480859, Topic_3:0.23248838488999718, Topic_7:0.17324610682112096, Topic_6:0.07754250147317225, Topic_0:0.024914025610197305, Topic_5:0.023547057269496678, Topic_8:0.02146668274368794, Topic_2:0.015424419590779304, Topic_1:0.014376876392043644, Topic_9:0.010581309961418924
Doc_23 :Topic_4:0.4442763763336152, Topic_3:0.20031323221557049, Topic_9:0.14107146627077113, Topic_2:0.06603446434495525, Topic_7:0.04764260985937614, Topic_6:0.034696127554644976, Topic_0:0.02005584390262613, Topic_5:0.017963748918738517, Topic_1:0.015139265123146756, Topic_8:0.012806865476555298
Doc_24 :Topic_4:0.49498480723973637, Topic_3:0.33495110454650523, Topic_0:0.03157135281722532, Topic_1:0.026292091504903876, Topic_7:0.023728475409014214, Topic_5:0.02319666850810342, Topic_8:0.021411127803705608, Topic_6:0.020036013570512885, Topic_2:0.013869757116812476, Topic_9:0.009958601483480684
Doc_25 :Topic_4:0.30827767435976716, Topic_9:0.18415230609738203, Topic_3:0.1654808577738728, Topic_2:0.12843649880342176, Topic_8:0.0769808445016056, Topic_6:0.038541384235221486, Topic_5:0.03135066529031143, Topic_0:0.02882027230778107, Topic_1:0.02094257733487789, Topic_7:0.017016919295758656
Doc_26 :Topic_4:0.28477654786562484, Topic_0:0.2609105480797306, Topic_2:0.09796470830667028, Topic_6:0.08533375285686859, Topic_8:0.06442509307265419, Topic_5:0.05774081869105302, Topic_3:0.05510886576832681, Topic_7:0.03901412911969738, Topic_9:0.030856450866479767, Topic_1:0.023869085372894578
Doc_27 :Topic_7:0.2334672983503279, Topic_0:0.17002176698504315, Topic_6:0.10986801543878243, Topic_8:0.09836964492617209, Topic_2:0.09597557878573036, Topic_5:0.08753654270244413, Topic_4:0.08710742459053038, Topic_1:0.06976326096860054, Topic_3:0.0354030668733291, Topic_9:0.012487400379039927
Doc_28 :Topic_5:0.20196452862447942, Topic_1:0.14481567546156635, Topic_6:0.13138012506447636, Topic_8:0.11832459899681338, Topic_2:0.11196180801204574, Topic_0:0.11046465643396786, Topic_7:0.049539180208592215, Topic_4:0.047448161185590663, Topic_9:0.04716919517782093, Topic_3:0.03693207083464709
Doc_29 :Topic_4:0.39995527653366325, Topic_1:0.2514286872239034, Topic_5:0.09394831320643304, Topic_3:0.07340140087063399, Topic_8:0.06722718804695992, Topic_2:0.04302083340862347, Topic_9:0.019729734099777622, Topic_0:0.018793002896025677, Topic_6:0.016684120418400696, Topic_7:0.01581144329557907
Doc_30 :Topic_4:0.26037666144653526, Topic_3:0.14633167509493647, Topic_6:0.12687458478559738, Topic_8:0.10530395538650855, Topic_1:0.10204288037257515, Topic_2:0.07026165373890458, Topic_0:0.056849650210193094, Topic_5:0.052166721551421755, Topic_7:0.050089179610376997, Topic_9:0.0297030378029509
Doc_31 :Topic_2:0.4136341460768133, Topic_9:0.35640524725688083, Topic_4:0.04307834794596318, Topic_1:0.03574795979979417, Topic_6:0.033029743864456805, Topic_5:0.0314909900350415, Topic_3:0.0277995544688614, Topic_8:0.026597082745829614, Topic_0:0.018118100582362785, Topic_7:0.014098827223996153
Doc_32 :Topic_6:0.6762637531926033, Topic_9:0.10424064825014515, Topic_2:0.05660258121458852, Topic_8:0.049726905695634996, Topic_4:0.03425207584703115, Topic_3:0.0274088185093688, Topic_7:0.019683778852579097, Topic_5:0.012725170859133505, Topic_0:0.010702996732201495, Topic_1:0.008393270846713947
Doc_33 :Topic_2:0.6173998102035427, Topic_8:0.08312654362002596, Topic_3:0.06237125103088713, Topic_5:0.0580987729316871, Topic_9:0.038922171430807166, Topic_4:0.0345730324041799, Topic_0:0.030743829130518725, Topic_7:0.029430440179195824, Topic_1:0.02362090015767752, Topic_6:0.021713248911478106
Doc_34 :Topic_6:0.2166546980742849, Topic_0:0.18131898616575612, Topic_2:0.15673128437189382, Topic_8:0.11579750004745235, Topic_1:0.06908365294476362, Topic_3:0.06779353286120511, Topic_4:0.05801139981475633, Topic_5:0.05554496457102024, Topic_7:0.041418311438167286, Topic_9:0.037645669710700026
Doc_35 :Topic_1:0.26442757704472003, Topic_3:0.14334965659805418, Topic_4:0.13771389761877112, Topic_6:0.11641047841361113, Topic_2:0.10333587027955113, Topic_0:0.0822744543143875, Topic_7:0.06422288467986992, Topic_8:0.04271906693560725, Topic_5:0.03137896113920917, Topic_9:0.014167152976218603
Doc_36 :Topic_0:0.5908773107812479, Topic_4:0.104332152379928, Topic_3:0.04915797696774739, Topic_6:0.04483224006459205, Topic_5:0.042184882136446535, Topic_8:0.03938907754211273, Topic_9:0.03857904690223214, Topic_2:0.037449784525918184, Topic_7:0.027829111436378548, Topic_1:0.025368417263396583
Doc_37 :Topic_9:0.3340699955837137, Topic_3:0.2646980161030218, Topic_7:0.08907156364782454, Topic_8:0.06775300219029015, Topic_5:0.06608073316072809, Topic_6:0.051188899598083794, Topic_2:0.04786856073893572, Topic_1:0.04124837291260154, Topic_4:0.019588030157506212, Topic_0:0.018432825907294538
Doc_38 :Topic_3:0.5011480850952058, Topic_7:0.0792361262437244, Topic_4:0.06890823531732385, Topic_5:0.0677868474073974, Topic_8:0.06627885282364553, Topic_0:0.05463903018889419, Topic_9:0.05317607029801695, Topic_1:0.04303346770764901, Topic_6:0.03650463903278109, Topic_2:0.0292886458853617
Doc_39 :Topic_9:0.48912063034931696, Topic_1:0.3459277787915296, Topic_2:0.0698996815873539, Topic_5:0.043852932894897154, Topic_8:0.01311265969090135, Topic_3:0.01017067566317384, Topic_4:0.007704528719113479, Topic_6:0.007517170723682296, Topic_0:0.00711746647568246, Topic_7:0.005576475104348837
Doc_40 :Topic_9:0.8437245996915047, Topic_8:0.04934900889624256, Topic_2:0.021888465039415078, Topic_3:0.020290947579255626, Topic_1:0.01923458175628097, Topic_4:0.01297362968157793, Topic_5:0.010495137069150654, Topic_0:0.009345664675598388, Topic_6:0.007767546528021656, Topic_7:0.004930419082952303
Doc_41 :Topic_2:0.5299031036835056, Topic_9:0.4151512222210397, Topic_5:0.01403828660920707, Topic_8:0.011523576067508888, Topic_4:0.008690128753469672, Topic_3:0.006515409794304638, Topic_6:0.004108333092883231, Topic_1:0.003905909940441155, Topic_0:0.0033221829118368143, Topic_7:0.002841846925803415
Doc_42 :Topic_9:0.8731914333259635, Topic_1:0.019231234889290304, Topic_8:0.016641837530772332, Topic_4:0.015638310659208367, Topic_2:0.01503838749876507, Topic_3:0.014912552772551574, Topic_5:0.013584430620577986, Topic_0:0.011708387811936782, Topic_6:0.01096028123019932, Topic_7:0.00909314366073482
